Tanggal;Tavg
01-01-2006;26,6
02-01-2006;27
03-01-2006;28,2
04-01-2006;25,7
05-01-2006;25,2
06-01-2006;27,2
07-01-2006;27
08-01-2006;26,1
09-01-2006;27,6
10-01-2006;27,6
11-01-2006;28,3
12-01-2006;27,2
13-01-2006;26,7
14-01-2006;26,2
15-01-2006;26,6
16-01-2006;27,3
17-01-2006;26,9
18-01-2006;26
19-01-2006;25,3
20-01-2006;27,5
21-01-2006;28,1
22-01-2006;28,7
23-01-2006;28,4
24-01-2006;27,5
25-01-2006;27,2
26-01-2006;28
27-01-2006;28,4
28-01-2006;28,3
29-01-2006;29
30-01-2006;28,3
31-01-2006;27,3
